,MSE - Architecture1,MSE - Architecture2,MSE - Architecture3
Sigmoid,3.2562776080006977,3.6820772596421,1.8573148284125716
Linear,4433.6966303937525,4433.581323223797,4435.800171029536
Tanh,3.264199789708814,4.979506877507342,2.635586377552444
ReLU,1395.4305091314077,14.657853666744387,4.307024404522843
